TimeStamps,X,Y,Z,,Mag.
2018-07-04T12:04:20.763596,-1.01,0.228,0.087,1,1.039063521
2018-07-04T12:04:20.811224,-0.984,0.217,0.073,1,1.010284118
2018-07-04T12:04:20.857848,-0.984,0.217,0.073,1,1.010284118
2018-07-04T12:04:20.904974,-0.984,0.229,0.047,1,1.011388155
2018-07-04T12:04:20.945081,-0.984,0.229,0.047,1,1.011388155
2018-07-04T12:04:20.996217,-1.001,0.216,0.057,1,1.025624688
2018-07-04T12:04:21.062394,-0.997,0.228,0.088,1,1.026516926
2018-07-04T12:04:21.104007,-0.997,0.228,0.088,1,1.026516926
2018-07-04T12:04:21.148626,-0.969,0.295,0.097,1,1.017543611
2018-07-04T12:04:21.197255,-0.922,0.311,0.129,1,0.981552851
2018-07-04T12:04:21.242877,-0.922,0.311,0.129,1,0.981552851
2018-07-04T12:04:21.289501,-0.916,0.342,0.149,1,0.989050555
2018-07-04T12:04:21.346654,-0.896,0.31,0.171,1,0.963409051
2018-07-04T12:04:21.399796,-0.896,0.31,0.171,1,0.963409051
2018-07-04T12:04:21.444917,-0.836,0.202,0.135,1,0.870588881
2018-07-04T12:04:21.496555,-0.836,0.202,0.135,1,0.870588881
2018-07-04T12:04:21.541676,-0.743,0.152,0.123,1,0.768298119
2018-07-04T12:04:21.588300,-0.515,0.134,0.01,1,0.532241487
2018-07-04T12:04:21.671522,-0.343,-0.029,0.014,1,0.344508345
2018-07-04T12:04:21.769786,-1.203,-0.245,0.016,1,1.227798843
2018-07-04T12:04:21.805886,-1.203,-0.245,0.016,1,1.227798843
2018-07-04T12:04:21.852010,-2.085,-0.165,0.328,1,2.117081482
2018-07-04T12:04:21.899139,-1.076,0.223,0.309,1,1.141484122
2018-07-04T12:04:21.948273,-1.076,0.223,0.309,1,1.141484122
2018-07-04T12:04:21.992390,0.192,-1.305,0.091,1,1.3221838
2018-07-04T12:04:22.041528,0.192,-1.305,0.091,1,1.3221838
2018-07-04T12:04:22.085645,-0.125,-2.343,0.007,1,2.346342473
2018-07-04T12:04:22.133778,-0.125,-2.343,0.007,1,2.346342473
2018-07-04T12:04:22.180904,0.249,-1.385,-0.015,1,1.407284975
2018-07-04T12:04:22.226032,0.447,-0.5,-0.139,1,0.684930653
2018-07-04T12:04:22.275163,0.447,-0.5,-0.139,1,0.684930653
2018-07-04T12:04:22.332321,0.218,-0.307,-0.123,1,0.396108571
2018-07-04T12:04:22.383457,-0.082,-0.469,-0.029,1,0.476996855
2018-07-04T12:04:22.428583,-0.082,-0.469,-0.029,1,0.476996855
2018-07-04T12:04:22.483730,-0.093,-1.133,-0.063,1,1.138554786
2018-07-04T12:04:22.554924,-0.298,-1.536,-0.598,1,1.675023582
2018-07-04T12:04:22.602050,-0.298,-1.536,-0.598,1,1.675023582
2018-07-04T12:04:22.654189,-0.59,-1.127,-0.701,1,1.45245654
2018-07-04T12:04:22.698308,-0.176,-0.578,-0.32,1,0.683710465
2018-07-04T12:04:22.742426,-0.176,-0.578,-0.32,1,0.683710465
2018-07-04T12:04:22.792559,-0.442,-0.494,-0.212,1,0.695948274
2018-07-04T12:04:22.835173,-0.442,-0.494,-0.212,1,0.695948274
2018-07-04T12:04:22.886811,-0.586,-0.88,-0.603,1,1.217129821
2018-07-04T12:04:22.973543,-0.438,-0.941,-0.709,1,1.256982896
2018-07-04T12:04:23.025716,-0.263,-0.7,-0.362,1,0.830790587
2018-07-04T12:04:23.112949,-0.334,-0.851,-0.348,1,0.978192721
2018-07-04T12:04:23.154059,-0.334,-0.851,-0.348,1,0.978192721
2018-07-04T12:04:23.197174,-0.29,-0.958,-0.371,1,1.067475995
2018-07-04T12:04:23.244300,-0.253,-0.892,-0.193,1,0.94705966
2018-07-04T12:04:23.299447,-0.253,-0.892,-0.193,1,0.94705966
2018-07-04T12:04:23.351085,-0.229,-0.858,-0.132,1,0.897791178
2018-07-04T12:04:23.399715,-0.292,-0.906,-0.161,1,0.965412347
2018-07-04T12:04:23.446842,-0.292,-0.906,-0.161,1,0.965412347
2018-07-04T12:04:23.492463,-0.395,-0.914,-0.216,1,1.018860638
2018-07-04T12:09:23.419628,-1.034,-0.293,-0.04,6,1.075455717
2018-07-04T12:09:23.469262,-1.222,0.02,-0.14,6,1.230156088
2018-07-04T12:09:23.513885,-1.222,0.02,-0.14,6,1.230156088
2018-07-04T12:09:23.561011,-1.51,-0.131,0.25,6,1.53615136
2018-07-04T12:09:23.617163,-1.51,-0.131,0.25,6,1.53615136
2018-07-04T12:09:23.685348,-1.342,-0.214,-0.318,6,1.395666149
2018-07-04T12:09:23.733479,-1.147,-0.012,-0.291,6,1.183399341
2018-07-04T12:09:23.781107,-1.147,-0.012,-0.291,6,1.183399341
2018-07-04T12:09:23.826731,-0.691,-0.287,-0.088,6,0.753388346
2018-07-04T12:09:23.871854,-0.502,-0.284,-0.123,6,0.589736382
2018-07-04T12:09:23.943046,-0.602,-0.45,0.055,6,0.753610642
2018-07-04T12:09:23.985662,-0.602,-0.45,0.055,6,0.753610642
2018-07-04T12:09:24.029782,-1.891,0.289,0.979,6,2.148916704
2018-07-04T12:09:24.078413,-1.891,0.289,0.979,6,2.148916704
2018-07-04T12:09:24.122032,-0.931,-0.107,-0.04,6,0.937981876
2018-07-04T12:09:24.187710,-0.917,-0.195,-0.189,6,0.956365516
2018-07-04T12:09:24.245867,-0.917,-0.195,-0.189,6,0.956365516
2018-07-04T12:09:24.296003,-0.982,-0.118,-0.269,6,1.024992195
2018-07-04T12:09:24.341627,-1.031,-0.146,-0.104,6,1.046466913
2018-07-04T12:09:24.391763,-1.031,-0.146,-0.104,6,1.046466913
2018-07-04T12:09:24.435381,-0.845,-0.192,-0.235,6,0.897838516
2018-07-04T12:09:24.534650,-0.899,-0.292,-0.115,6,0.95220271
2018-07-04T12:09:24.582279,-1.076,-0.324,0.004,6,1.123729505
2018-07-04T12:09:24.627902,-1.076,-0.324,0.004,6,1.123729505
2018-07-04T12:09:24.671020,-1.439,0.058,0.004,6,1.440173948
2018-07-04T12:09:24.718649,-1.439,0.058,0.004,6,1.440173948
2018-07-04T12:09:24.764774,-1.48,-0.11,0.048,6,1.484858242
2018-07-04T12:09:24.812403,-1.302,-0.157,-0.461,6,1.390098558
2018-07-04T12:09:24.871563,-1.302,-0.157,-0.461,6,1.390098558
2018-07-04T12:09:24.920195,-1.071,-0.08,-0.282,6,1.110389571
2018-07-04T12:09:24.967824,-1.071,-0.08,-0.282,6,1.110389571
2018-07-04T12:09:25.015453,-0.57,-0.238,-0.186,6,0.645089141
2018-07-04T12:09:25.062581,-0.383,-0.327,-0.194,6,0.539679535
